algorithm,heuristic,algorithm args,final state,value,time,generated nodes,max memory usage
hill_climbing,inverse_n_conflicts,{},"(1, 4, 6, 0, 2, 5, 3, 0)",-2,0.009802579879760742,225,65124
hill_climbing,inverse_n_conflicts,{},"(4, 1, 5, 0, 2, 0, 7, 3)",-1,0.006137847900390625,225,42144
hill_climbing,inverse_n_conflicts,{},"(0, 5, 1, 5, 7, 2, 4, 3)",-2,0.004212141036987305,225,41904
hill_climbing,inverse_n_conflicts,{},"(6, 4, 1, 7, 0, 7, 3, 1)",-2,0.0028107166290283203,169,41536
hill_climbing,inverse_n_conflicts,{},"(6, 3, 0, 7, 1, 4, 2, 0)",-1,0.0048274993896484375,281,44277
hill_climbing,inverse_n_conflicts,{},"(5, 2, 0, 6, 3, 1, 7, 4)",-1,0.0037398338317871094,225,42008
hill_climbing,inverse_n_conflicts,{},"(4, 2, 0, 5, 6, 1, 3, 7)",-1,0.005109548568725586,281,43452
hill_climbing,inverse_n_conflicts,{},"(3, 2, 4, 7, 0, 5, 1, 6)",-2,0.003601551055908203,169,41600
hill_climbing,inverse_n_conflicts,{},"(2, 0, 3, 6, 5, 1, 4, 7)",-2,0.004357814788818359,225,41776
hill_climbing,inverse_n_conflicts,{},"(7, 0, 3, 0, 6, 1, 2, 5)",-2,0.0045680999755859375,225,41904
hill_climbing,inverse_n_conflicts,{},"(6, 2, 4, 1, 7, 5, 3, 0)",-1,0.004090785980224609,225,41904
hill_climbing,inverse_n_conflicts,{},"(7, 1, 3, 0, 6, 1, 5, 2)",-1,0.003804922103881836,225,41904
hill_climbing,inverse_n_conflicts,{},"(1, 4, 2, 7, 5, 3, 0, 6)",-1,0.0047261714935302734,281,43708
hill_climbing,inverse_n_conflicts,{},"(6, 2, 7, 5, 3, 0, 4, 7)",-1,0.0031099319458007812,169,41600
hill_climbing,inverse_n_conflicts,{},"(3, 5, 2, 1, 6, 0, 7, 4)",-1,0.0045659542083740234,281,43708
hill_climbing,inverse_n_conflicts,{},"(0, 3, 7, 2, 5, 2, 4, 1)",-2,0.0031092166900634766,169,41472
hill_climbing,inverse_n_conflicts,{},"(7, 3, 1, 6, 4, 2, 0, 5)",-1,0.003892183303833008,225,41904
hill_climbing,inverse_n_conflicts,{},"(3, 4, 6, 1, 5, 7, 0, 2)",-2,0.0027053356170654297,169,41600
hill_climbing,inverse_n_conflicts,{},"(3, 5, 7, 2, 1, 6, 4, 0)",-1,0.0044939517974853516,281,43580
hill_climbing,inverse_n_conflicts,{},"(4, 0, 7, 3, 1, 6, 2, 5)",0,0.004477739334106445,281,43812
hill_climbing,inverse_n_conflicts,{},"(2, 4, 6, 0, 3, 1, 7, 5)",0,0.006264209747314453,337,45552
hill_climbing,inverse_n_conflicts,{},"(3, 5, 2, 1, 6, 0, 7, 4)",-1,0.0035834312438964844,225,41776
hill_climbing,inverse_n_conflicts,{},"(1, 4, 6, 0, 3, 5, 0, 2)",-1,0.004379987716674805,281,43708
hill_climbing,inverse_n_conflicts,{},"(4, 6, 3, 0, 2, 1, 5, 7)",-1,0.005553007125854492,337,45512
