algorithm,heuristic,algorithm args,final state,value,time,generated nodes,max memory usage
hill_climbing_random_restart,inverse_n_conflicts,{'exhaustive': 1},"(2, 6, 1, 7, 5, 3, 0, 4)",0,0.05614471435546875,956,71844
hill_climbing_random_restart,inverse_n_conflicts,{'exhaustive': 1},"(3, 1, 6, 2, 5, 7, 0, 4)",0,0.04083371162414551,1293,48949
hill_climbing_random_restart,inverse_n_conflicts,{'exhaustive': 1},"(2, 5, 1, 6, 0, 3, 7, 4)",0,0.12910914421081543,7594,50656
hill_climbing_random_restart,inverse_n_conflicts,{'exhaustive': 1},"(2, 5, 1, 6, 0, 3, 7, 4)",0,0.008764266967773438,507,46636
hill_climbing_random_restart,inverse_n_conflicts,{'exhaustive': 1},"(1, 4, 6, 0, 2, 7, 5, 3)",0,0.04066777229309082,2418,48388
hill_climbing_random_restart,inverse_n_conflicts,{'exhaustive': 1},"(2, 5, 7, 0, 3, 6, 4, 1)",0,0.1006612777709961,5905,49956
hill_climbing_random_restart,inverse_n_conflicts,{'exhaustive': 1},"(5, 2, 6, 1, 3, 7, 0, 4)",0,0.030232667922973633,1630,48408
hill_climbing_random_restart,inverse_n_conflicts,{'exhaustive': 1},"(1, 4, 6, 0, 2, 7, 5, 3)",0,0.008658885955810547,450,46924
hill_climbing_random_restart,inverse_n_conflicts,{'exhaustive': 1},"(4, 0, 7, 3, 1, 6, 2, 5)",0,0.015062808990478516,844,47180
hill_climbing_random_restart,inverse_n_conflicts,{'exhaustive': 1},"(2, 5, 3, 1, 7, 4, 6, 0)",0,0.0158083438873291,900,47744
hill_climbing_random_restart,inverse_n_conflicts,{'exhaustive': 1},"(4, 7, 3, 0, 6, 1, 5, 2)",0,0.00881648063659668,506,47228
hill_climbing_random_restart,inverse_n_conflicts,{'exhaustive': 1},"(7, 1, 3, 0, 6, 4, 2, 5)",0,0.007998943328857422,450,46896
hill_climbing_random_restart,inverse_n_conflicts,{'exhaustive': 1},"(1, 5, 7, 2, 0, 3, 6, 4)",0,0.013491153717041016,787,47576
hill_climbing_random_restart,inverse_n_conflicts,{'exhaustive': 1},"(1, 5, 7, 2, 0, 3, 6, 4)",0,0.039820194244384766,1968,48824
hill_climbing_random_restart,inverse_n_conflicts,{'exhaustive': 1},"(6, 4, 2, 0, 5, 7, 1, 3)",0,0.030100345611572266,1237,47848
hill_climbing_random_restart,inverse_n_conflicts,{'exhaustive': 1},"(5, 2, 4, 7, 0, 3, 1, 6)",0,0.00809931755065918,394,45568
