algorithm,heuristic,algorithm args,final state,value,time,generated nodes,max memory usage
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(1, 7, 5, 0, 2, 4, 6, 3)",0,0.18361234664916992,36009,134024
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(2, 4, 1, 7, 0, 6, 3, 5)",0,0.5926496982574463,113121,272016
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(2, 5, 3, 0, 7, 4, 6, 1)",0,0.4239017963409424,81649,185632
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(1, 4, 6, 3, 0, 7, 5, 2)",0,0.5669918060302734,108921,187192
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(3, 1, 6, 2, 5, 7, 4, 0)",0,0.3558769226074219,68825,149240
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(1, 4, 6, 0, 2, 7, 5, 3)",0,0.18534517288208008,36681,99384
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(2, 5, 3, 1, 7, 4, 6, 0)",0,0.6162242889404297,119841,186424
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(0, 4, 7, 5, 2, 6, 1, 3)",0,0.6158781051635742,118385,223688
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(4, 0, 7, 5, 2, 6, 1, 3)",0,0.7763679027557373,149353,223144
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(5, 1, 6, 0, 2, 4, 7, 3)",0,0.4765918254852295,91449,181528
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(4, 0, 3, 5, 7, 1, 6, 2)",0,0.3827519416809082,74649,138520
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(6, 3, 1, 7, 5, 0, 2, 4)",0,0.04752540588378906,9465,45112
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(7, 1, 3, 0, 6, 4, 2, 5)",0,0.18657326698303223,36961,97336
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(3, 1, 7, 5, 0, 2, 4, 6)",0,0.19425296783447266,38193,98072
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(6, 1, 5, 2, 0, 3, 7, 4)",0,0.1250288486480713,24809,72024
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(5, 3, 6, 0, 7, 1, 4, 2)",0,0.31542515754699707,61041,140536
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(5, 2, 6, 3, 0, 7, 1, 4)",0,0.5771620273590088,111329,181272
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(2, 5, 7, 0, 4, 6, 1, 3)",0,0.18959712982177734,37297,98104
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(4, 2, 0, 6, 1, 7, 5, 3)",0,0.4971652030944824,96041,162072
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(3, 5, 7, 1, 6, 0, 2, 4)",0,0.7315022945404053,141121,196344
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(4, 1, 3, 5, 7, 2, 0, 6)",0,0.10917162895202637,21785,69368
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(4, 6, 0, 2, 7, 5, 3, 1)",0,0.4799678325653076,92961,170328
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(6, 4, 2, 0, 5, 7, 1, 3)",0,0.25707316398620605,50401,110616
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(5, 2, 6, 1, 7, 4, 0, 3)",0,0.24097704887390137,46593,125720
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(3, 1, 7, 5, 0, 2, 4, 6)",0,1.0187630653381348,197905,217368
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(0, 5, 7, 2, 6, 3, 1, 4)",0,0.6372783184051514,122529,200472
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(3, 6, 4, 1, 5, 0, 2, 7)",0,0.4019131660461426,77561,153592
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(5, 2, 6, 3, 0, 7, 1, 4)",0,0.11443471908569336,22737,74040
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(4, 6, 3, 0, 2, 7, 5, 1)",0,0.32164835929870605,62385,143928
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(3, 7, 4, 2, 0, 6, 1, 5)",0,0.520423173904419,100465,181496
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(4, 2, 0, 6, 1, 7, 5, 3)",0,0.5577833652496338,107857,178168
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(5, 1, 6, 0, 2, 4, 7, 3)",0,0.3538033962249756,68489,149784
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(7, 2, 0, 5, 1, 4, 6, 3)",0,0.4870927333831787,94081,172632
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(7, 1, 4, 2, 0, 6, 3, 5)",0,0.24956035614013672,48721,117016
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(2, 7, 3, 6, 0, 5, 1, 4)",0,0.15605902671813965,31193,78968
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(6, 1, 3, 0, 7, 4, 2, 5)",0,0.5167961120605469,100017,166968
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(1, 4, 6, 3, 0, 7, 5, 2)",0,0.4461495876312256,85289,180792
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(6, 3, 1, 4, 7, 0, 2, 5)",0,0.5279662609100342,101417,180760
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(3, 1, 7, 5, 0, 2, 4, 6)",0,0.40467381477355957,71009,152536
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(7, 1, 4, 2, 0, 6, 3, 5)",0,0.5680201053619385,108977,186160
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(5, 1, 6, 0, 2, 4, 7, 3)",0,0.36830854415893555,71289,142904
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(2, 5, 3, 0, 7, 4, 6, 1)",0,0.13921642303466797,27665,81688
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(6, 1, 3, 0, 7, 4, 2, 5)",0,0.29529905319213867,57345,134968
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(2, 4, 1, 7, 0, 6, 3, 5)",0,0.4568672180175781,88313,163608
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(6, 4, 2, 0, 5, 7, 1, 3)",0,0.7212917804718018,139385,195288
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(5, 1, 6, 0, 3, 7, 4, 2)",0,0.8313338756561279,161169,207496
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(3, 1, 4, 7, 5, 0, 2, 6)",0,0.3783833980560303,73305,153400
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(5, 3, 6, 0, 7, 1, 4, 2)",0,0.7624216079711914,146889,226328
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(6, 3, 1, 7, 5, 0, 2, 4)",0,0.5336391925811768,102817,191208
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0005, 'min_temp': 0.01}","(0, 6, 3, 5, 7, 1, 4, 2)",0,0.29276013374328613,57289,124696
