algorithm,heuristic,algorithm args,final state,value,time,generated nodes,max memory usage
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 60.0', 'v: 47.0'), ('w: 23.0', 'v: 4.0'), ('w: 62.0', 'v: 61.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",294.0,0.0005087852478027344,24,12320
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 60.0', 'v: 47.0'), ('w: 32.0', 'v: 5.0'), ('w: 62.0', 'v: 61.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",295.0,0.0004055500030517578,24,5416
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 60.0', 'v: 47.0'), ('w: 72.0', 'v: 50.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",279.0,0.0007963180541992188,14,3928
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 60.0', 'v: 47.0'), ('w: 32.0', 'v: 5.0'), ('w: 23.0', 'v: 4.0'), ('w: 62.0', 'v: 61.0'), ('w: 65.0', 'v: 85.0')]",212.0,0.0001385211944580078,7,2104
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 60.0', 'v: 47.0'), ('w: 32.0', 'v: 5.0'), ('w: 23.0', 'v: 4.0'), ('w: 72.0', 'v: 50.0'), ('w: 46.0', 'v: 87.0')]",203.0,0.00040078163146972656,23,4792
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 60.0', 'v: 47.0'), ('w: 32.0', 'v: 5.0'), ('w: 62.0', 'v: 61.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",295.0,0.0006320476531982422,40,6328
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 72.0', 'v: 50.0'), ('w: 62.0', 'v: 61.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",293.0,0.0006778240203857422,45,6456
hill_climbing,accumulated_value,"{}","Knapsack[('w: 95.0', 'v: 55.0'), ('w: 4.0', 'v: 10.0'), ('w: 32.0', 'v: 5.0'), ('w: 80.0', 'v: 8.0'), ('w: 46.0', 'v: 87.0')]",165.0,0.0003604888916015625,22,4792
hill_climbing,accumulated_value,"{}","Knapsack[('w: 95.0', 'v: 55.0'), ('w: 4.0', 'v: 10.0'), ('w: 32.0', 'v: 5.0'), ('w: 23.0', 'v: 4.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",246.0,0.0003750324249267578,25,5304
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 32.0', 'v: 5.0'), ('w: 23.0', 'v: 4.0'), ('w: 72.0', 'v: 50.0'), ('w: 80.0', 'v: 8.0'), ('w: 46.0', 'v: 87.0')]",164.0,0.00011849403381347656,7,2104
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 32.0', 'v: 5.0'), ('w: 23.0', 'v: 4.0'), ('w: 62.0', 'v: 61.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",252.0,0.0004904270172119141,33,5944
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 60.0', 'v: 47.0'), ('w: 32.0', 'v: 5.0'), ('w: 62.0', 'v: 61.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",295.0,0.001894235610961914,34,5944
hill_climbing,accumulated_value,"{}","Knapsack[('w: 95.0', 'v: 55.0'), ('w: 4.0', 'v: 10.0'), ('w: 23.0', 'v: 4.0'), ('w: 72.0', 'v: 50.0'), ('w: 65.0', 'v: 85.0')]",204.0,0.0001571178436279297,6,1816
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 60.0', 'v: 47.0'), ('w: 32.0', 'v: 5.0'), ('w: 62.0', 'v: 61.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",295.0,0.00025153160095214844,14,3960
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 60.0', 'v: 47.0'), ('w: 32.0', 'v: 5.0'), ('w: 23.0', 'v: 4.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",238.0,0.0002727508544921875,16,4536
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 32.0', 'v: 5.0'), ('w: 23.0', 'v: 4.0'), ('w: 72.0', 'v: 50.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",241.0,0.0003731250762939453,23,4792
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 32.0', 'v: 5.0'), ('w: 23.0', 'v: 4.0'), ('w: 62.0', 'v: 61.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",252.0,0.0002601146697998047,17,4792
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 60.0', 'v: 47.0'), ('w: 32.0', 'v: 5.0'), ('w: 62.0', 'v: 61.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",295.0,0.00036406517028808594,24,5048
hill_climbing,accumulated_value,"{}","Knapsack[('w: 95.0', 'v: 55.0'), ('w: 4.0', 'v: 10.0'), ('w: 60.0', 'v: 47.0'), ('w: 32.0', 'v: 5.0'), ('w: 23.0', 'v: 4.0'), ('w: 46.0', 'v: 87.0')]",208.0,0.00046133995056152344,29,4792
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 60.0', 'v: 47.0'), ('w: 32.0', 'v: 5.0'), ('w: 62.0', 'v: 61.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",295.0,0.00022530555725097656,14,3960
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 60.0', 'v: 47.0'), ('w: 32.0', 'v: 5.0'), ('w: 62.0', 'v: 61.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",295.0,0.0007486343383789062,50,6200
hill_climbing,accumulated_value,"{}","Knapsack[('w: 95.0', 'v: 55.0'), ('w: 62.0', 'v: 61.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",288.0,0.0006725788116455078,45,6648
hill_climbing,accumulated_value,"{}","Knapsack[('w: 23.0', 'v: 4.0'), ('w: 72.0', 'v: 50.0'), ('w: 62.0', 'v: 61.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",287.0,0.0006394386291503906,44,6200
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 60.0', 'v: 47.0'), ('w: 80.0', 'v: 8.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",237.0,0.00022530555725097656,13,3672
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 32.0', 'v: 5.0'), ('w: 23.0', 'v: 4.0'), ('w: 80.0', 'v: 8.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",199.0,0.0003483295440673828,23,4792
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 72.0', 'v: 50.0'), ('w: 62.0', 'v: 61.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",293.0,0.0005168914794921875,35,5944
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 72.0', 'v: 50.0'), ('w: 62.0', 'v: 61.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",293.0,0.0006380081176757812,45,6200
hill_climbing,accumulated_value,"{}","Knapsack[('w: 95.0', 'v: 55.0'), ('w: 4.0', 'v: 10.0'), ('w: 60.0', 'v: 47.0'), ('w: 62.0', 'v: 61.0'), ('w: 46.0', 'v: 87.0')]",260.0,0.0003533363342285156,23,5048
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 32.0', 'v: 5.0'), ('w: 23.0', 'v: 4.0'), ('w: 80.0', 'v: 8.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",199.0,0.00022721290588378906,15,4216
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 60.0', 'v: 47.0'), ('w: 23.0', 'v: 4.0'), ('w: 72.0', 'v: 50.0'), ('w: 62.0', 'v: 61.0'), ('w: 46.0', 'v: 87.0')]",259.0,0.00021982192993164062,14,3960
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 60.0', 'v: 47.0'), ('w: 23.0', 'v: 4.0'), ('w: 62.0', 'v: 61.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",294.0,0.0008225440979003906,44,6200
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 72.0', 'v: 50.0'), ('w: 80.0', 'v: 8.0'), ('w: 62.0', 'v: 61.0'), ('w: 46.0', 'v: 87.0')]",216.0,0.00022029876708984375,13,3741
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 32.0', 'v: 5.0'), ('w: 23.0', 'v: 4.0'), ('w: 72.0', 'v: 50.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",241.0,0.0001125335693359375,7,2104
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 32.0', 'v: 5.0'), ('w: 23.0', 'v: 4.0'), ('w: 80.0', 'v: 8.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",199.0,0.00033974647521972656,23,5338
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 60.0', 'v: 47.0'), ('w: 80.0', 'v: 8.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",237.0,0.0003921985626220703,25,5648
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 72.0', 'v: 50.0'), ('w: 62.0', 'v: 61.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",293.0,0.0006704330444335938,45,6200
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 60.0', 'v: 47.0'), ('w: 23.0', 'v: 4.0'), ('w: 62.0', 'v: 61.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",294.0,0.0006163120269775391,44,6200
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 60.0', 'v: 47.0'), ('w: 23.0', 'v: 4.0'), ('w: 72.0', 'v: 50.0'), ('w: 62.0', 'v: 61.0'), ('w: 46.0', 'v: 87.0')]",259.0,0.0002193450927734375,14,3960
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 60.0', 'v: 47.0'), ('w: 23.0', 'v: 4.0'), ('w: 62.0', 'v: 61.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",294.0,0.0004870891571044922,34,5944
hill_climbing,accumulated_value,"{}","Knapsack[('w: 95.0', 'v: 55.0'), ('w: 62.0', 'v: 61.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",288.0,0.0003733634948730469,25,5944
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 60.0', 'v: 47.0'), ('w: 23.0', 'v: 4.0'), ('w: 62.0', 'v: 61.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",294.0,0.0006244182586669922,44,6305
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 60.0', 'v: 47.0'), ('w: 32.0', 'v: 5.0'), ('w: 62.0', 'v: 61.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",295.0,0.00045108795166015625,33,5648
hill_climbing,accumulated_value,"{}","Knapsack[('w: 4.0', 'v: 10.0'), ('w: 80.0', 'v: 8.0'), ('w: 62.0', 'v: 61.0'), ('w: 65.0', 'v: 85.0'), ('w: 46.0', 'v: 87.0')]",251.0,0.00018644332885742188,11,3160
