algorithm,heuristic,algorithm args,final state,value,time,generated nodes,max memory usage
genetic,accumulated_value,"{'num_generations': 200, 'num_parents_mating': 2, 'sol_per_pop': 200, 'parent_selection_type': 'rank', 'keep_elitism': 30, 'num_genes': 20, 'gene_space': [0, 1]}","Knapsack[('w: 84.0', 'v: 91.0'), ('w: 83.0', 'v: 72.0'), ('w: 43.0', 'v: 90.0'), ('w: 4.0', 'v: 46.0'), ('w: 44.0', 'v: 55.0'), ('w: 82.0', 'v: 35.0'), ('w: 92.0', 'v: 75.0'), ('w: 25.0', 'v: 61.0'), ('w: 56.0', 'v: 77.0'), ('w: 18.0', 'v: 40.0'), ('w: 58.0', 'v: 63.0'), ('w: 14.0', 'v: 75.0'), ('w: 70.0', 'v: 75.0'), ('w: 32.0', 'v: 78.0'), ('w: 68.0', 'v: 40.0'), ('w: 92.0', 'v: 44.0')]",1017.0,6.744747161865234,200,78672
genetic,accumulated_value,"{'num_generations': 200, 'num_parents_mating': 2, 'sol_per_pop': 200, 'parent_selection_type': 'rank', 'keep_elitism': 30, 'num_genes': 20, 'gene_space': [0, 1]}","Knapsack[('w: 84.0', 'v: 91.0'), ('w: 83.0', 'v: 72.0'), ('w: 43.0', 'v: 90.0'), ('w: 4.0', 'v: 46.0'), ('w: 44.0', 'v: 55.0'), ('w: 82.0', 'v: 35.0'), ('w: 92.0', 'v: 75.0'), ('w: 25.0', 'v: 61.0'), ('w: 56.0', 'v: 77.0'), ('w: 18.0', 'v: 40.0'), ('w: 58.0', 'v: 63.0'), ('w: 14.0', 'v: 75.0'), ('w: 70.0', 'v: 75.0'), ('w: 32.0', 'v: 78.0'), ('w: 68.0', 'v: 40.0'), ('w: 92.0', 'v: 44.0')]",1017.0,6.768392562866211,200,74888
genetic,accumulated_value,"{'num_generations': 200, 'num_parents_mating': 2, 'sol_per_pop': 200, 'parent_selection_type': 'rank', 'keep_elitism': 30, 'num_genes': 20, 'gene_space': [0, 1]}","Knapsack[('w: 84.0', 'v: 91.0'), ('w: 83.0', 'v: 72.0'), ('w: 43.0', 'v: 90.0'), ('w: 4.0', 'v: 46.0'), ('w: 44.0', 'v: 55.0'), ('w: 6.0', 'v: 8.0'), ('w: 82.0', 'v: 35.0'), ('w: 92.0', 'v: 75.0'), ('w: 25.0', 'v: 61.0'), ('w: 56.0', 'v: 77.0'), ('w: 18.0', 'v: 40.0'), ('w: 58.0', 'v: 63.0'), ('w: 14.0', 'v: 75.0'), ('w: 70.0', 'v: 75.0'), ('w: 32.0', 'v: 78.0'), ('w: 68.0', 'v: 40.0'), ('w: 92.0', 'v: 44.0')]",1025.0,6.738188028335571,200,74704
genetic,accumulated_value,"{'num_generations': 200, 'num_parents_mating': 2, 'sol_per_pop': 200, 'parent_selection_type': 'rank', 'keep_elitism': 30, 'num_genes': 20, 'gene_space': [0, 1]}","Knapsack[('w: 84.0', 'v: 91.0'), ('w: 83.0', 'v: 72.0'), ('w: 43.0', 'v: 90.0'), ('w: 4.0', 'v: 46.0'), ('w: 44.0', 'v: 55.0'), ('w: 82.0', 'v: 35.0'), ('w: 92.0', 'v: 75.0'), ('w: 25.0', 'v: 61.0'), ('w: 56.0', 'v: 77.0'), ('w: 18.0', 'v: 40.0'), ('w: 58.0', 'v: 63.0'), ('w: 14.0', 'v: 75.0'), ('w: 70.0', 'v: 75.0'), ('w: 32.0', 'v: 78.0'), ('w: 68.0', 'v: 40.0'), ('w: 92.0', 'v: 44.0')]",1017.0,6.768172740936279,200,74712
genetic,accumulated_value,"{'num_generations': 200, 'num_parents_mating': 2, 'sol_per_pop': 200, 'parent_selection_type': 'rank', 'keep_elitism': 30, 'num_genes': 20, 'gene_space': [0, 1]}","Knapsack[('w: 84.0', 'v: 91.0'), ('w: 83.0', 'v: 72.0'), ('w: 43.0', 'v: 90.0'), ('w: 4.0', 'v: 46.0'), ('w: 44.0', 'v: 55.0'), ('w: 6.0', 'v: 8.0'), ('w: 82.0', 'v: 35.0'), ('w: 92.0', 'v: 75.0'), ('w: 25.0', 'v: 61.0'), ('w: 56.0', 'v: 77.0'), ('w: 18.0', 'v: 40.0'), ('w: 58.0', 'v: 63.0'), ('w: 14.0', 'v: 75.0'), ('w: 70.0', 'v: 75.0'), ('w: 32.0', 'v: 78.0'), ('w: 68.0', 'v: 40.0'), ('w: 92.0', 'v: 44.0')]",1025.0,6.758607864379883,200,74872
genetic,accumulated_value,"{'num_generations': 200, 'num_parents_mating': 2, 'sol_per_pop': 200, 'parent_selection_type': 'rank', 'keep_elitism': 30, 'num_genes': 20, 'gene_space': [0, 1]}","Knapsack[('w: 84.0', 'v: 91.0'), ('w: 83.0', 'v: 72.0'), ('w: 43.0', 'v: 90.0'), ('w: 4.0', 'v: 46.0'), ('w: 44.0', 'v: 55.0'), ('w: 6.0', 'v: 8.0'), ('w: 82.0', 'v: 35.0'), ('w: 92.0', 'v: 75.0'), ('w: 25.0', 'v: 61.0'), ('w: 56.0', 'v: 77.0'), ('w: 18.0', 'v: 40.0'), ('w: 58.0', 'v: 63.0'), ('w: 14.0', 'v: 75.0'), ('w: 70.0', 'v: 75.0'), ('w: 32.0', 'v: 78.0'), ('w: 68.0', 'v: 40.0'), ('w: 92.0', 'v: 44.0')]",1025.0,6.890084505081177,200,74872
genetic,accumulated_value,"{'num_generations': 200, 'num_parents_mating': 2, 'sol_per_pop': 200, 'parent_selection_type': 'rank', 'keep_elitism': 30, 'num_genes': 20, 'gene_space': [0, 1]}","Knapsack[('w: 84.0', 'v: 91.0'), ('w: 83.0', 'v: 72.0'), ('w: 43.0', 'v: 90.0'), ('w: 4.0', 'v: 46.0'), ('w: 44.0', 'v: 55.0'), ('w: 6.0', 'v: 8.0'), ('w: 82.0', 'v: 35.0'), ('w: 92.0', 'v: 75.0'), ('w: 25.0', 'v: 61.0'), ('w: 56.0', 'v: 77.0'), ('w: 18.0', 'v: 40.0'), ('w: 58.0', 'v: 63.0'), ('w: 14.0', 'v: 75.0'), ('w: 70.0', 'v: 75.0'), ('w: 32.0', 'v: 78.0'), ('w: 68.0', 'v: 40.0'), ('w: 92.0', 'v: 44.0')]",1025.0,7.039446115493774,200,74872
genetic,accumulated_value,"{'num_generations': 200, 'num_parents_mating': 2, 'sol_per_pop': 200, 'parent_selection_type': 'rank', 'keep_elitism': 30, 'num_genes': 20, 'gene_space': [0, 1]}","Knapsack[('w: 84.0', 'v: 91.0'), ('w: 83.0', 'v: 72.0'), ('w: 43.0', 'v: 90.0'), ('w: 4.0', 'v: 46.0'), ('w: 44.0', 'v: 55.0'), ('w: 6.0', 'v: 8.0'), ('w: 82.0', 'v: 35.0'), ('w: 92.0', 'v: 75.0'), ('w: 25.0', 'v: 61.0'), ('w: 56.0', 'v: 77.0'), ('w: 18.0', 'v: 40.0'), ('w: 58.0', 'v: 63.0'), ('w: 14.0', 'v: 75.0'), ('w: 70.0', 'v: 75.0'), ('w: 32.0', 'v: 78.0'), ('w: 68.0', 'v: 40.0'), ('w: 92.0', 'v: 44.0')]",1025.0,7.166858911514282,200,74872
genetic,accumulated_value,"{'num_generations': 200, 'num_parents_mating': 2, 'sol_per_pop': 200, 'parent_selection_type': 'rank', 'keep_elitism': 30, 'num_genes': 20, 'gene_space': [0, 1]}","Knapsack[('w: 84.0', 'v: 91.0'), ('w: 83.0', 'v: 72.0'), ('w: 43.0', 'v: 90.0'), ('w: 4.0', 'v: 46.0'), ('w: 44.0', 'v: 55.0'), ('w: 6.0', 'v: 8.0'), ('w: 82.0', 'v: 35.0'), ('w: 92.0', 'v: 75.0'), ('w: 25.0', 'v: 61.0'), ('w: 56.0', 'v: 77.0'), ('w: 18.0', 'v: 40.0'), ('w: 58.0', 'v: 63.0'), ('w: 14.0', 'v: 75.0'), ('w: 70.0', 'v: 75.0'), ('w: 32.0', 'v: 78.0'), ('w: 68.0', 'v: 40.0'), ('w: 92.0', 'v: 44.0')]",1025.0,7.044475555419922,200,74872
genetic,accumulated_value,"{'num_generations': 200, 'num_parents_mating': 2, 'sol_per_pop': 200, 'parent_selection_type': 'rank', 'keep_elitism': 30, 'num_genes': 20, 'gene_space': [0, 1]}","Knapsack[('w: 84.0', 'v: 91.0'), ('w: 83.0', 'v: 72.0'), ('w: 43.0', 'v: 90.0'), ('w: 4.0', 'v: 46.0'), ('w: 44.0', 'v: 55.0'), ('w: 6.0', 'v: 8.0'), ('w: 82.0', 'v: 35.0'), ('w: 92.0', 'v: 75.0'), ('w: 25.0', 'v: 61.0'), ('w: 56.0', 'v: 77.0'), ('w: 18.0', 'v: 40.0'), ('w: 58.0', 'v: 63.0'), ('w: 14.0', 'v: 75.0'), ('w: 70.0', 'v: 75.0'), ('w: 32.0', 'v: 78.0'), ('w: 68.0', 'v: 40.0'), ('w: 92.0', 'v: 44.0')]",1025.0,6.966181755065918,200,74872
genetic,accumulated_value,"{'num_generations': 200, 'num_parents_mating': 2, 'sol_per_pop': 200, 'parent_selection_type': 'rank', 'keep_elitism': 30, 'num_genes': 20, 'gene_space': [0, 1]}","Knapsack[('w: 84.0', 'v: 91.0'), ('w: 83.0', 'v: 72.0'), ('w: 43.0', 'v: 90.0'), ('w: 4.0', 'v: 46.0'), ('w: 44.0', 'v: 55.0'), ('w: 6.0', 'v: 8.0'), ('w: 82.0', 'v: 35.0'), ('w: 92.0', 'v: 75.0'), ('w: 25.0', 'v: 61.0'), ('w: 56.0', 'v: 77.0'), ('w: 18.0', 'v: 40.0'), ('w: 58.0', 'v: 63.0'), ('w: 14.0', 'v: 75.0'), ('w: 70.0', 'v: 75.0'), ('w: 32.0', 'v: 78.0'), ('w: 68.0', 'v: 40.0'), ('w: 92.0', 'v: 44.0')]",1025.0,6.975207090377808,200,74872
genetic,accumulated_value,"{'num_generations': 200, 'num_parents_mating': 2, 'sol_per_pop': 200, 'parent_selection_type': 'rank', 'keep_elitism': 30, 'num_genes': 20, 'gene_space': [0, 1]}","Knapsack[('w: 84.0', 'v: 91.0'), ('w: 83.0', 'v: 72.0'), ('w: 43.0', 'v: 90.0'), ('w: 4.0', 'v: 46.0'), ('w: 44.0', 'v: 55.0'), ('w: 6.0', 'v: 8.0'), ('w: 82.0', 'v: 35.0'), ('w: 92.0', 'v: 75.0'), ('w: 25.0', 'v: 61.0'), ('w: 56.0', 'v: 77.0'), ('w: 18.0', 'v: 40.0'), ('w: 58.0', 'v: 63.0'), ('w: 14.0', 'v: 75.0'), ('w: 70.0', 'v: 75.0'), ('w: 32.0', 'v: 78.0'), ('w: 68.0', 'v: 40.0'), ('w: 92.0', 'v: 44.0')]",1025.0,6.987878799438477,200,74872
genetic,accumulated_value,"{'num_generations': 200, 'num_parents_mating': 2, 'sol_per_pop': 200, 'parent_selection_type': 'rank', 'keep_elitism': 30, 'num_genes': 20, 'gene_space': [0, 1]}","Knapsack[('w: 84.0', 'v: 91.0'), ('w: 83.0', 'v: 72.0'), ('w: 43.0', 'v: 90.0'), ('w: 4.0', 'v: 46.0'), ('w: 44.0', 'v: 55.0'), ('w: 6.0', 'v: 8.0'), ('w: 82.0', 'v: 35.0'), ('w: 92.0', 'v: 75.0'), ('w: 25.0', 'v: 61.0'), ('w: 56.0', 'v: 77.0'), ('w: 18.0', 'v: 40.0'), ('w: 58.0', 'v: 63.0'), ('w: 14.0', 'v: 75.0'), ('w: 70.0', 'v: 75.0'), ('w: 32.0', 'v: 78.0'), ('w: 68.0', 'v: 40.0'), ('w: 92.0', 'v: 44.0')]",1025.0,7.026400804519653,200,74872
