algorithm,heuristic,algorithm args,final state,value,time,generated nodes,max memory usage
genetic,inverse_n_conflicts,"{'num_generations': 200, 'sol_per_pop': 200, 'parent_selection_type': 'rank', 'num_parents_mating': 10, 'keep_elitism': 30, 'num_genes': 16, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'mutation_percent_genes': 0.125}","(2, 9, 11, 6, 15, 12, 5, 1, 13, 7, 10, 3, 0, 14, 4, 8)",0,7.082778692245483,200,89649
genetic,inverse_n_conflicts,"{'num_generations': 200, 'sol_per_pop': 200, 'parent_selection_type': 'rank', 'num_parents_mating': 10, 'keep_elitism': 30, 'num_genes': 16, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'mutation_percent_genes': 0.125}","(12, 10, 5, 13, 4, 0, 7, 11, 2, 14, 9, 3, 8, 15, 1, 6)",0,7.084219217300415,200,70057
genetic,inverse_n_conflicts,"{'num_generations': 200, 'sol_per_pop': 200, 'parent_selection_type': 'rank', 'num_parents_mating': 10, 'keep_elitism': 30, 'num_genes': 16, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'mutation_percent_genes': 0.125}","(12, 9, 1, 14, 5, 2, 15, 11, 8, 4, 13, 0, 3, 6, 10, 7)",0,7.148293495178223,200,70057
genetic,inverse_n_conflicts,"{'num_generations': 200, 'sol_per_pop': 200, 'parent_selection_type': 'rank', 'num_parents_mating': 10, 'keep_elitism': 30, 'num_genes': 16, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'mutation_percent_genes': 0.125}","(10, 3, 14, 12, 1, 6, 2, 11, 13, 8, 4, 9, 15, 0, 5, 7)",0,6.973362922668457,200,70057
genetic,inverse_n_conflicts,"{'num_generations': 200, 'sol_per_pop': 200, 'parent_selection_type': 'rank', 'num_parents_mating': 10, 'keep_elitism': 30, 'num_genes': 16, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'mutation_percent_genes': 0.125}","(10, 2, 11, 3, 15, 12, 1, 5, 14, 0, 6, 13, 9, 7, 4, 8)",0,6.934165000915527,200,70057
genetic,inverse_n_conflicts,"{'num_generations': 200, 'sol_per_pop': 200, 'parent_selection_type': 'rank', 'num_parents_mating': 10, 'keep_elitism': 30, 'num_genes': 16, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'mutation_percent_genes': 0.125}","(3, 10, 12, 2, 11, 7, 1, 15, 0, 14, 6, 8, 5, 13, 4, 9)",0,7.31548547744751,200,84543
genetic,inverse_n_conflicts,"{'num_generations': 200, 'sol_per_pop': 200, 'parent_selection_type': 'rank', 'num_parents_mating': 10, 'keep_elitism': 30, 'num_genes': 16, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'mutation_percent_genes': 0.125}","(13, 0, 4, 8, 11, 14, 1, 5, 2, 9, 7, 12, 15, 3, 10, 6)",0,7.084034442901611,200,70057
genetic,inverse_n_conflicts,"{'num_generations': 200, 'sol_per_pop': 200, 'parent_selection_type': 'rank', 'num_parents_mating': 10, 'keep_elitism': 30, 'num_genes': 16, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'mutation_percent_genes': 0.125}","(8, 5, 2, 13, 11, 7, 15, 10, 14, 1, 3, 9, 6, 12, 0, 4)",0,7.18815016746521,200,70057
genetic,inverse_n_conflicts,"{'num_generations': 200, 'sol_per_pop': 200, 'parent_selection_type': 'rank', 'num_parents_mating': 10, 'keep_elitism': 30, 'num_genes': 16, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'mutation_percent_genes': 0.125}","(11, 14, 4, 7, 12, 0, 2, 5, 9, 15, 13, 10, 1, 6, 8, 3)",0,7.048930406570435,200,70057
genetic,inverse_n_conflicts,"{'num_generations': 200, 'sol_per_pop': 200, 'parent_selection_type': 'rank', 'num_parents_mating': 10, 'keep_elitism': 30, 'num_genes': 16, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'mutation_percent_genes': 0.125}","(5, 8, 13, 15, 2, 6, 10, 0, 14, 4, 9, 1, 12, 7, 3, 11)",0,7.090827226638794,200,69865
