algorithm,heuristic,algorithm args,final state,value,time,generated nodes,max memory usage
genetic,inverse_n_conflicts,"{'num_generations': 1000, 'sol_per_pop': 250, 'parent_selection_type': 'rank', 'num_parents_mating': 5, 'keep_parents': 5, 'keep_elitism': 35, 'crossover_probability': 0.7, 'num_genes': 32, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 'mutation_percent_genes': 12.5}","(18, 23, 6, 0, 10, 1, 9, 27, 13, 24, 18, 20, 10, 30, 28, 17, 3, 29, 7, 26, 21, 15, 12, 3, 5, 2, 25, 22, 16, 1, 8, 4)",-5,60.18504238128662,270,146630
genetic,inverse_n_conflicts,"{'num_generations': 1000, 'sol_per_pop': 250, 'parent_selection_type': 'rank', 'num_parents_mating': 5, 'keep_parents': 5, 'keep_elitism': 35, 'crossover_probability': 0.7, 'num_genes': 32, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 'mutation_percent_genes': 12.5}","(8, 20, 13, 19, 28, 30, 23, 25, 22, 2, 14, 1, 13, 15, 9, 4, 21, 17, 25, 31, 0, 27, 16, 26, 3, 6, 10, 24, 11, 12, 17, 29)",-5,60.33815860748291,271,140920
genetic,inverse_n_conflicts,"{'num_generations': 1000, 'sol_per_pop': 250, 'parent_selection_type': 'rank', 'num_parents_mating': 5, 'keep_parents': 5, 'keep_elitism': 35, 'crossover_probability': 0.7, 'num_genes': 32, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 'mutation_percent_genes': 12.5}","(9, 15, 20, 5, 10, 25, 30, 18, 7, 31, 14, 0, 8, 28, 30, 16, 3, 21, 12, 2, 27, 29, 17, 26, 24, 1, 1, 19, 6, 13, 15, 22)",-5,60.33095645904541,271,140816
genetic,inverse_n_conflicts,"{'num_generations': 1000, 'sol_per_pop': 250, 'parent_selection_type': 'rank', 'num_parents_mating': 5, 'keep_parents': 5, 'keep_elitism': 35, 'crossover_probability': 0.7, 'num_genes': 32, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 'mutation_percent_genes': 12.5}","(13, 6, 12, 14, 20, 29, 4, 24, 10, 0, 5, 18, 8, 22, 26, 3, 17, 30, 7, 2, 23, 9, 28, 31, 21, 7, 1, 11, 25, 23, 16, 27)",-7,60.29117250442505,271,141016
genetic,inverse_n_conflicts,"{'num_generations': 1000, 'sol_per_pop': 250, 'parent_selection_type': 'rank', 'num_parents_mating': 5, 'keep_parents': 5, 'keep_elitism': 35, 'crossover_probability': 0.7, 'num_genes': 32, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 'mutation_percent_genes': 12.5}","(14, 17, 7, 25, 1, 14, 31, 24, 26, 29, 2, 4, 13, 16, 10, 5, 28, 23, 3, 30, 15, 21, 8, 22, 9, 27, 20, 0, 15, 1, 6, 19)",-5,60.28449082374573,270,140992
genetic,inverse_n_conflicts,"{'num_generations': 1000, 'sol_per_pop': 250, 'parent_selection_type': 'rank', 'num_parents_mating': 5, 'keep_parents': 5, 'keep_elitism': 35, 'crossover_probability': 0.7, 'num_genes': 32, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 'mutation_percent_genes': 12.5}","(26, 4, 17, 12, 5, 18, 8, 14, 29, 19, 0, 23, 6, 31, 25, 2, 22, 10, 17, 3, 30, 9, 11, 28, 1, 7, 20, 13, 20, 24, 15, 27)",-4,60.180314779281616,271,141016
genetic,inverse_n_conflicts,"{'num_generations': 1000, 'sol_per_pop': 250, 'parent_selection_type': 'rank', 'num_parents_mating': 5, 'keep_parents': 5, 'keep_elitism': 35, 'crossover_probability': 0.7, 'num_genes': 32, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 'mutation_percent_genes': 12.5}","(28, 30, 23, 18, 29, 22, 6, 0, 7, 13, 11, 24, 17, 16, 2, 5, 27, 8, 14, 31, 26, 3, 1, 21, 10, 12, 4, 22, 25, 9, 15, 20)",-4,60.22297430038452,272,141040
genetic,inverse_n_conflicts,"{'num_generations': 1000, 'sol_per_pop': 250, 'parent_selection_type': 'rank', 'num_parents_mating': 5, 'keep_parents': 5, 'keep_elitism': 35, 'crossover_probability': 0.7, 'num_genes': 32, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 'mutation_percent_genes': 12.5}","(12, 5, 22, 29, 31, 4, 20, 31, 25, 16, 13, 8, 30, 9, 23, 6, 18, 28, 2, 1, 30, 7, 27, 17, 24, 6, 3, 12, 26, 18, 0, 21)",-6,60.26142239570618,271,141016
genetic,inverse_n_conflicts,"{'num_generations': 1000, 'sol_per_pop': 250, 'parent_selection_type': 'rank', 'num_parents_mating': 5, 'keep_parents': 5, 'keep_elitism': 35, 'crossover_probability': 0.7, 'num_genes': 32, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 'mutation_percent_genes': 12.5}","(18, 28, 10, 27, 29, 14, 21, 30, 15, 12, 3, 0, 16, 4, 8, 1, 18, 30, 23, 17, 20, 31, 24, 2, 7, 1, 6, 11, 25, 19, 15, 13)",-5,60.32104754447937,275,141112
genetic,inverse_n_conflicts,"{'num_generations': 1000, 'sol_per_pop': 250, 'parent_selection_type': 'rank', 'num_parents_mating': 5, 'keep_parents': 5, 'keep_elitism': 35, 'crossover_probability': 0.7, 'num_genes': 32, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 'mutation_percent_genes': 12.5}","(20, 31, 12, 4, 6, 16, 24, 29, 1, 28, 8, 18, 4, 25, 3, 30, 23, 2, 13, 24, 7, 29, 0, 26, 30, 19, 9, 31, 14, 5, 21, 10)",-6,60.295021533966064,269,140968
genetic,inverse_n_conflicts,"{'num_generations': 1000, 'sol_per_pop': 250, 'parent_selection_type': 'rank', 'num_parents_mating': 5, 'keep_parents': 5, 'keep_elitism': 35, 'crossover_probability': 0.7, 'num_genes': 32, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 'mutation_percent_genes': 12.5}","(11, 0, 25, 21, 13, 3, 20, 28, 10, 6, 2, 12, 18, 26, 8, 23, 16, 12, 1, 9, 0, 31, 15, 27, 19, 30, 22, 4, 17, 29, 3, 5)",-5,60.32404088973999,269,140968
genetic,inverse_n_conflicts,"{'num_generations': 1000, 'sol_per_pop': 250, 'parent_selection_type': 'rank', 'num_parents_mating': 5, 'keep_parents': 5, 'keep_elitism': 35, 'crossover_probability': 0.7, 'num_genes': 32, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 'mutation_percent_genes': 12.5}","(17, 12, 2, 19, 22, 24, 3, 21, 17, 11, 30, 3, 0, 25, 10, 1, 26, 20, 1, 14, 27, 29, 2, 8, 28, 23, 31, 5, 18, 16, 6, 4)",-5,60.25305247306824,271,141016
genetic,inverse_n_conflicts,"{'num_generations': 1000, 'sol_per_pop': 250, 'parent_selection_type': 'rank', 'num_parents_mating': 5, 'keep_parents': 5, 'keep_elitism': 35, 'crossover_probability': 0.7, 'num_genes': 32, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 'mutation_percent_genes': 12.5}","(21, 27, 18, 5, 14, 5, 26, 19, 16, 31, 25, 0, 3, 16, 11, 22, 15, 6, 12, 28, 24, 1, 27, 10, 17, 2, 8, 19, 23, 13, 18, 29)",-6,60.199788093566895,272,141040
genetic,inverse_n_conflicts,"{'num_generations': 1000, 'sol_per_pop': 250, 'parent_selection_type': 'rank', 'num_parents_mating': 5, 'keep_parents': 5, 'keep_elitism': 35, 'crossover_probability': 0.7, 'num_genes': 32, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 'mutation_percent_genes': 12.5}","(24, 14, 12, 20, 7, 17, 1, 11, 24, 30, 6, 9, 0, 29, 3, 26, 31, 2, 25, 27, 6, 23, 28, 15, 4, 12, 8, 4, 1, 22, 5, 21)",-6,60.26034760475159,273,141064
genetic,inverse_n_conflicts,"{'num_generations': 1000, 'sol_per_pop': 250, 'parent_selection_type': 'rank', 'num_parents_mating': 5, 'keep_parents': 5, 'keep_elitism': 35, 'crossover_probability': 0.7, 'num_genes': 32, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 'mutation_percent_genes': 12.5}","(13, 4, 27, 12, 30, 11, 17, 25, 31, 10, 18, 16, 24, 20, 8, 29, 15, 6, 3, 21, 30, 5, 2, 22, 14, 0, 23, 8, 19, 1, 7, 26)",-4,60.1865496635437,269,140968
genetic,inverse_n_conflicts,"{'num_generations': 1000, 'sol_per_pop': 250, 'parent_selection_type': 'rank', 'num_parents_mating': 5, 'keep_parents': 5, 'keep_elitism': 35, 'crossover_probability': 0.7, 'num_genes': 32, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 'mutation_percent_genes': 12.5}","(18, 5, 24, 16, 13, 4, 23, 28, 20, 6, 2, 31, 19, 8, 12, 25, 17, 28, 7, 25, 14, 9, 1, 26, 0, 27, 11, 23, 18, 10, 21, 5)",-6,60.21741271018982,271,141016
genetic,inverse_n_conflicts,"{'num_generations': 1000, 'sol_per_pop': 250, 'parent_selection_type': 'rank', 'num_parents_mating': 5, 'keep_parents': 5, 'keep_elitism': 35, 'crossover_probability': 0.7, 'num_genes': 32, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 'mutation_percent_genes': 12.5}","(9, 19, 3, 23, 20, 12, 4, 26, 11, 6, 1, 5, 24, 13, 16, 14, 30, 21, 23, 2, 31, 29, 10, 19, 17, 15, 8, 31, 7, 18, 25, 0)",-6,60.33110857009888,270,140992
genetic,inverse_n_conflicts,"{'num_generations': 1000, 'sol_per_pop': 250, 'parent_selection_type': 'rank', 'num_parents_mating': 5, 'keep_parents': 5, 'keep_elitism': 35, 'crossover_probability': 0.7, 'num_genes': 32, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 'mutation_percent_genes': 12.5}","(27, 21, 10, 22, 15, 2, 23, 19, 6, 1, 31, 18, 5, 3, 28, 25, 20, 16, 6, 1, 29, 0, 9, 24, 27, 30, 26, 23, 4, 14, 8, 17)",-5,60.22221231460571,273,141064
genetic,inverse_n_conflicts,"{'num_generations': 1000, 'sol_per_pop': 250, 'parent_selection_type': 'rank', 'num_parents_mating': 5, 'keep_parents': 5, 'keep_elitism': 35, 'crossover_probability': 0.7, 'num_genes': 32, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 'mutation_percent_genes': 12.5}","(16, 12, 5, 15, 17, 24, 29, 8, 4, 18, 27, 0, 27, 17, 9, 7, 30, 3, 26, 26, 14, 19, 10, 20, 2, 25, 7, 29, 13, 22, 1, 11)",-5,60.339357137680054,272,141040
genetic,inverse_n_conflicts,"{'num_generations': 1000, 'sol_per_pop': 250, 'parent_selection_type': 'rank', 'num_parents_mating': 5, 'keep_parents': 5, 'keep_elitism': 35, 'crossover_probability': 0.7, 'num_genes': 32, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 'mutation_percent_genes': 12.5}","(20, 28, 3, 16, 11, 5, 8, 14, 24, 31, 29, 2, 30, 10, 31, 2, 19, 26, 29, 27, 4, 9, 0, 18, 13, 23, 12, 17, 21, 4, 6, 25)",-5,60.288283348083496,271,141016
genetic,inverse_n_conflicts,"{'num_generations': 1000, 'sol_per_pop': 250, 'parent_selection_type': 'rank', 'num_parents_mating': 5, 'keep_parents': 5, 'keep_elitism': 35, 'crossover_probability': 0.7, 'num_genes': 32, 'gene_type': <class 'int'>, 'gene_space': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 'mutation_percent_genes': 12.5}","(27, 1, 31, 29, 15, 20, 5, 17, 22, 6, 16, 18, 2, 4, 7, 27, 0, 26, 4, 30, 3, 17, 14, 24, 11, 28, 21, 12, 9, 23, 10, 13)",-5,60.231369495391846,269,140968
