algorithm,heuristic,algorithm args,final state,value,time,generated nodes,max memory usage
hill_climbing,inverse_n_conflicts,{},"(23, 6, 15, 9, 4, 26, 18, 25, 2, 0, 30, 10, 19, 14, 28, 13, 27, 5, 20, 1, 24, 29, 3, 12, 21, 8, 11, 22, 31, 7, 16, 17)",-2,3.69991397857666,14881,1390345
hill_climbing,inverse_n_conflicts,{},"(1, 5, 17, 26, 9, 22, 19, 25, 16, 7, 24, 30, 8, 15, 4, 2, 23, 20, 3, 31, 12, 14, 27, 3, 21, 6, 10, 15, 28, 11, 29, 0)",-5,2.6633031368255615,10913,1380620
hill_climbing,inverse_n_conflicts,{},"(5, 26, 14, 22, 20, 29, 17, 7, 23, 8, 27, 4, 6, 0, 21, 11, 13, 15, 10, 3, 30, 24, 31, 25, 9, 1, 18, 28, 2, 12, 16, 12)",-3,3.632641553878784,14881,1383132
hill_climbing,inverse_n_conflicts,{},"(28, 0, 16, 1, 6, 21, 24, 26, 8, 10, 31, 18, 20, 9, 17, 19, 27, 30, 3, 25, 13, 4, 12, 15, 29, 2, 23, 15, 9, 11, 5, 25)",-5,2.800960063934326,11905,1381248
hill_climbing,inverse_n_conflicts,{},"(27, 18, 5, 19, 22, 9, 4, 16, 13, 8, 25, 2, 24, 26, 15, 1, 12, 25, 29, 14, 17, 31, 3, 30, 6, 20, 28, 11, 21, 7, 10, 0)",-3,3.6716246604919434,14881,1383132
hill_climbing,inverse_n_conflicts,{},"(2, 26, 1, 15, 19, 16, 24, 17, 30, 6, 29, 14, 7, 3, 8, 13, 25, 18, 11, 1, 27, 5, 22, 10, 12, 21, 6, 31, 9, 20, 4, 0)",-2,4.024506330490112,16865,1384388
hill_climbing,inverse_n_conflicts,{},"(1, 3, 19, 12, 16, 2, 28, 20, 6, 0, 25, 15, 30, 5, 24, 14, 21, 13, 29, 4, 23, 27, 17, 9, 31, 8, 10, 17, 22, 11, 11, 18)",-2,4.334516525268555,18849,1385644
hill_climbing,inverse_n_conflicts,{},"(10, 21, 5, 26, 15, 18, 0, 13, 16, 30, 3, 23, 29, 2, 12, 6, 2, 8, 22, 28, 7, 22, 14, 25, 20, 24, 31, 1, 4, 9, 3, 19)",-4,3.0945687294006348,12897,1381876
hill_climbing,inverse_n_conflicts,{},"(4, 23, 13, 19, 16, 18, 8, 1, 17, 10, 30, 2, 20, 3, 31, 11, 21, 27, 25, 14, 26, 6, 9, 15, 12, 22, 5, 7, 28, 24, 0, 29)",-2,4.6178388595581055,18849,1385644
hill_climbing,inverse_n_conflicts,{},"(26, 5, 1, 6, 4, 20, 31, 25, 22, 11, 7, 17, 23, 30, 2, 18, 28, 24, 3, 0, 16, 8, 27, 15, 10, 14, 19, 21, 29, 13, 12, 9)",-2,4.118713140487671,15873,1383760
hill_climbing,inverse_n_conflicts,{},"(22, 3, 23, 14, 24, 31, 0, 11, 5, 7, 19, 1, 8, 21, 30, 27, 16, 9, 6, 20, 13, 0, 28, 4, 29, 10, 25, 18, 2, 12, 17, 26)",-1,4.321213960647583,12897,1381876
hill_climbing,inverse_n_conflicts,{},"(6, 15, 1, 18, 14, 17, 22, 2, 27, 30, 23, 29, 12, 7, 11, 0, 3, 21, 25, 10, 28, 13, 5, 26, 8, 21, 4, 20, 9, 16, 31, 19)",-2,4.226248264312744,15873,1383760
