algorithm,heuristic,algorithm args,final state,value,time,generated nodes,max memory usage
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0001, 'min_temp': 7e-06, 'time_limit': 60.0}","(21, 24, 9, 17, 31, 22, 18, 11, 4, 20, 13, 30, 3, 15, 8, 28, 0, 5, 1, 25, 19, 26, 30, 2, 14, 6, 23, 27, 3, 16, 25, 29)",-6,60.023885011672974,6903329,2564784
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0001, 'min_temp': 7e-06, 'time_limit': 60.0}","(13, 5, 6, 23, 26, 7, 15, 2, 25, 20, 18, 9, 24, 4, 10, 29, 19, 22, 28, 0, 12, 30, 1, 8, 21, 16, 14, 11, 28, 1, 17, 17)",-7,60.01588153839111,6286305,2645696
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0001, 'min_temp': 7e-06, 'time_limit': 60.0}","(7, 22, 2, 11, 6, 23, 29, 13, 4, 24, 14, 10, 28, 26, 15, 18, 2, 8, 16, 3, 25, 31, 5, 27, 14, 1, 15, 9, 20, 22, 0, 12)",-6,60.006831884384155,3143649,2558480
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0001, 'min_temp': 7e-06, 'time_limit': 60.0}","(28, 10, 27, 5, 23, 13, 17, 6, 11, 21, 31, 18, 8, 3, 29, 19, 1, 30, 4, 14, 26, 14, 0, 17, 1, 25, 27, 24, 3, 20, 22, 7)",-7,60.01070284843445,3395617,2556824
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0001, 'min_temp': 7e-06, 'time_limit': 60.0}","(9, 1, 18, 14, 7, 29, 19, 8, 15, 30, 2, 31, 24, 3, 12, 25, 22, 11, 5, 27, 20, 6, 26, 28, 8, 16, 4, 23, 21, 0, 5, 13)",-5,60.01332449913025,6459905,2592704
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0001, 'min_temp': 7e-06, 'time_limit': 60.0}","(4, 12, 23, 19, 14, 3, 29, 21, 8, 6, 28, 13, 7, 16, 20, 2, 5, 30, 18, 27, 25, 11, 15, 0, 18, 24, 0, 2, 29, 1, 9, 17)",-6,60.011019706726074,6625569,2567864
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0001, 'min_temp': 7e-06, 'time_limit': 60.0}","(26, 15, 21, 11, 6, 16, 1, 17, 29, 22, 11, 14, 0, 30, 3, 24, 10, 2, 23, 23, 16, 7, 28, 10, 27, 4, 8, 18, 25, 19, 5, 31)",-7,60.01121950149536,5760545,2587736
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0001, 'min_temp': 7e-06, 'time_limit': 60.0}","(10, 27, 20, 30, 26, 21, 15, 18, 16, 14, 9, 4, 25, 1, 6, 21, 19, 14, 0, 31, 9, 23, 29, 13, 28, 2, 12, 5, 11, 24, 17, 31)",-5,60.0075786113739,7514401,2587736
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0001, 'min_temp': 7e-06, 'time_limit': 60.0}","(10, 25, 20, 1, 1, 13, 7, 18, 12, 21, 31, 24, 0, 6, 29, 29, 0, 17, 10, 8, 11, 2, 16, 30, 27, 4, 28, 23, 14, 19, 15, 3)",-5,60.02423596382141,7099745,2630792
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0001, 'min_temp': 7e-06, 'time_limit': 60.0}","(29, 15, 26, 25, 13, 17, 4, 1, 16, 18, 11, 30, 2, 19, 24, 3, 7, 9, 21, 18, 27, 14, 27, 10, 31, 6, 28, 23, 8, 12, 0, 20)",-6,60.009284257888794,6926145,2573936
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0001, 'min_temp': 7e-06, 'time_limit': 60.0}","(30, 0, 6, 22, 12, 28, 13, 7, 14, 19, 3, 16, 23, 26, 30, 27, 4, 31, 20, 2, 14, 10, 31, 24, 16, 1, 6, 9, 21, 25, 20, 8)",-8,60.00850224494934,5720865,2621408
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0001, 'min_temp': 7e-06, 'time_limit': 60.0}","(2, 20, 30, 17, 4, 19, 27, 22, 15, 3, 28, 7, 1, 18, 30, 0, 9, 25, 16, 11, 21, 5, 26, 13, 23, 3, 14, 8, 31, 24, 27, 6)",-4,60.015122413635254,7571937,2546888
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0001, 'min_temp': 7e-06, 'time_limit': 60.0}","(14, 18, 31, 12, 6, 3, 21, 23, 30, 13, 8, 29, 31, 7, 24, 6, 1, 16, 5, 25, 4, 29, 15, 12, 27, 22, 0, 2, 28, 10, 2, 26)",-8,60.0082061290741,5550241,2617544
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0001, 'min_temp': 7e-06, 'time_limit': 60.0}","(23, 15, 11, 22, 8, 17, 4, 2, 28, 20, 27, 21, 27, 7, 0, 18, 1, 9, 25, 8, 11, 9, 12, 31, 0, 3, 26, 29, 21, 13, 10, 16)",-7,60.018707513809204,5512545,2610368
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0001, 'min_temp': 7e-06, 'time_limit': 60.0}","(17, 19, 2, 12, 10, 30, 5, 9, 16, 1, 21, 14, 6, 25, 7, 22, 3, 15, 8, 18, 2, 12, 27, 24, 20, 11, 4, 31, 25, 13, 4, 29)",-7,60.01201391220093,5285377,2676056
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0001, 'min_temp': 7e-06, 'time_limit': 60.0}","(3, 26, 0, 20, 5, 31, 18, 30, 11, 29, 1, 15, 4, 6, 21, 28, 13, 23, 7, 14, 8, 30, 24, 22, 10, 19, 4, 12, 3, 25, 2, 21)",-6,60.01006603240967,6339873,2598224
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0001, 'min_temp': 7e-06, 'time_limit': 60.0}","(9, 30, 27, 5, 28, 25, 0, 18, 27, 17, 8, 3, 11, 6, 31, 19, 21, 12, 4, 31, 21, 3, 29, 23, 30, 15, 1, 12, 24, 20, 14, 2)",-7,60.01284170150757,6068065,2626928
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0001, 'min_temp': 7e-06, 'time_limit': 60.0}","(11, 3, 16, 12, 16, 9, 25, 5, 0, 26, 6, 27, 13, 19, 1, 15, 31, 20, 23, 8, 28, 18, 29, 22, 9, 4, 2, 17, 14, 11, 24, 12)",-5,60.01351881027222,7273345,2653976
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0001, 'min_temp': 7e-06, 'time_limit': 60.0}","(8, 10, 23, 25, 30, 4, 2, 23, 6, 9, 22, 29, 1, 14, 5, 26, 13, 20, 25, 3, 15, 0, 26, 28, 9, 27, 12, 20, 18, 7, 11, 19)",-7,60.01391887664795,7345761,2541368
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0001, 'min_temp': 7e-06, 'time_limit': 60.0}","(7, 30, 12, 21, 15, 5, 23, 20, 7, 29, 18, 2, 14, 26, 8, 27, 31, 3, 16, 22, 1, 13, 11, 28, 24, 20, 9, 17, 4, 25, 6, 28)",-7,60.02397274971008,7267393,2617544
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0001, 'min_temp': 7e-06, 'time_limit': 60.0}","(10, 15, 5, 8, 11, 0, 29, 18, 21, 13, 27, 2, 11, 28, 0, 9, 14, 14, 3, 20, 26, 30, 12, 1, 16, 25, 6, 6, 24, 19, 12, 7)",-7,60.013206481933594,7252513,2580560
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0001, 'min_temp': 7e-06, 'time_limit': 60.0}","(9, 23, 12, 5, 6, 11, 21, 24, 13, 28, 2, 18, 8, 25, 30, 0, 19, 17, 0, 14, 6, 31, 3, 7, 4, 16, 15, 26, 22, 10, 27, 1)",-6,60.01345229148865,6156353,2540816
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0001, 'min_temp': 7e-06, 'time_limit': 60.0}","(18, 22, 28, 11, 23, 15, 3, 24, 31, 20, 14, 25, 4, 0, 29, 13, 21, 2, 17, 19, 27, 30, 23, 26, 1, 7, 28, 6, 16, 5, 10, 22)",-3,60.0100359916687,6705921,2546888
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0001, 'min_temp': 7e-06, 'time_limit': 60.0}","(24, 17, 5, 14, 24, 18, 10, 26, 2, 11, 1, 21, 23, 9, 28, 4, 31, 12, 16, 12, 20, 30, 19, 29, 3, 13, 31, 26, 8, 10, 0, 6)",-6,60.01194930076599,5330017,2607608
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0001, 'min_temp': 7e-06, 'time_limit': 60.0}","(21, 6, 8, 5, 31, 19, 16, 30, 25, 3, 18, 2, 15, 12, 27, 24, 13, 10, 14, 17, 0, 9, 26, 15, 7, 29, 20, 28, 23, 11, 22, 1)",-6,60.0138635635376,7601697,2594912
simulated_annealing,inverse_n_conflicts,"{'init_temp': 1, 'cooling_rate': 0.0001, 'min_temp': 7e-06, 'time_limit': 60.0}","(29, 9, 1, 24, 22, 15, 6, 0, 31, 16, 21, 27, 2, 0, 8, 30, 2, 18, 3, 17, 3, 12, 26, 20, 16, 7, 14, 23, 6, 13, 25, 10)",-6,60.01728343963623,7708833,2577248
